# problem=TPV104
# author=Surendra Nadh Somala
# Date = 03/03/2021; time = 11:01:37
# code=SPECFEM3D_Cartesian (split nodes)
# code_version=1.1
# element_size=4000 m  (w/ 5 GLL nodes)
# time_step=  0.2500000E-02
# location=faultst000dp120
# Column #1 = Time (s)
# Column #2 = horizontal right-lateral slip (m)
# Column #3 = horizontal right-lateral slip rate (m/s)
# Column #4 = horizontal right-lateral shear stress (MPa)
# Column #5 = vertical up-dip slip (m)
# Column #6 = vertical up-dip slip rate (m/s)
# Column #7 = vertical up-dip shear stress (MPa)
# Column #8 = normal stress (MPa)
# Column #9 = log10 of state variable (log-seconds)
#
# The line below lists the names of the data fields:
# t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stress log-theta
#
  0.3425000E+00  0.3246858E-05  0.9565350E-05  0.7499804E+02 -0.1694066E-20  0.6938895E-19  0.5460539E-12 -0.1200000E+03  0.9205739E+01
  0.3450000E+00  0.3294543E-05  0.9561343E-05  0.7500185E+02 -0.1694066E-20  0.6098637E-19  0.4803733E-12 -0.1200000E+03  0.9205739E+01
  0.3475000E+00  0.3294665E-05  0.9557759E-05  0.7499804E+02 -0.8470329E-21  0.6234163E-19  0.4914761E-12 -0.1200000E+03  0.9205738E+01
  0.3500000E+00  0.3342332E-05  0.9554657E-05  0.7500185E+02 -0.1694066E-20 -0.1646632E-19 -0.1300198E-12 -0.1200000E+03  0.9205738E+01
  0.3525000E+00  0.3342438E-05  0.9552099E-05  0.7499804E+02 -0.8470329E-21  0.8267042E-19  0.6484875E-12 -0.1200000E+03  0.9205737E+01
  0.3550000E+00  0.3390092E-05  0.9550145E-05  0.7500185E+02 -0.8470329E-21  0.5936007E-19  0.4658850E-12 -0.1200000E+03  0.9205737E+01
  0.3575000E+00  0.3390189E-05  0.9548856E-05  0.7499804E+02  0.0000000E+00  0.9920450E-19  0.7813925E-12 -0.1200000E+03  0.9205736E+01
  0.3600000E+00  0.3437836E-05  0.9548288E-05  0.7500185E+02  0.0000000E+00 -0.9757817E-20 -0.7685778E-13 -0.1200000E+03  0.9205735E+01
  0.3625000E+00  0.3437930E-05  0.9548497E-05  0.7499804E+02  0.0000000E+00  0.1544987E-19  0.1214411E-12 -0.1200000E+03  0.9205735E+01
  0.3650000E+00  0.3485579E-05  0.9549538E-05  0.7500185E+02  0.8470329E-21  0.9134403E-19  0.7200270E-12 -0.1200000E+03  0.9205734E+01
  0.3675000E+00  0.3485678E-05  0.9551466E-05  0.7499804E+02  0.1694066E-20 -0.2215838E-19 -0.1744878E-12 -0.1200000E+03  0.9205734E+01
