 # problem=TPV104
 # author=Surendra Nadh Somala
 # Date = 08/03/2016; time = 16:51:48
 # code=SPECFEM3D_Cartesian (split nodes)
 # code_version=1.1
 # element_size=100 m  (*5 GLL nodes)
 # time_step=  2.0000001E-03
 # location=faultst000dp075
 # Column #1 = Time (s)
 # Column #2 = horizontal right-lateral slip (m)
 # Column #3 = horizontal right-lateral slip rate (m/s)
 # Column #4 = horizontal right-lateral shear stress (MPa)
 # Column #5 = vertical up-dip slip (m)
 # Column #6 = vertical up-dip slip rate (m/s)
 # Column #7 = vertical up-dip shear stress (MPa)
 # Column #8 = normal stress (MPa)
 #
 # The line below lists the names of the data fields:
 # t h-slip h-slip-rate h-shear-stress v-slip v-slip-rate v-shear-stress n-stres
 s
 #
  0.3080000E+00  0.1489497E+00  0.1505790E+01  0.7444785E+02  0.1507904E-09  0.3364000E-08  0.1663197E-06 -0.1199999E+03
  0.3100000E+00  0.1519928E+00  0.1537524E+01  0.7430917E+02  0.1536471E-09  0.1339461E-08  0.6473670E-07 -0.1200001E+03
  0.3120000E+00  0.1550998E+00  0.1569742E+01  0.7416743E+02  0.1561482E-09 -0.5390611E-08 -0.2546965E-06 -0.1200000E+03
  0.3140000E+00  0.1582717E+00  0.1602429E+01  0.7402289E+02  0.1320847E-09 -0.1260574E-07 -0.5823115E-06 -0.1200001E+03
  0.3160000E+00  0.1615095E+00  0.1635570E+01  0.7387519E+02  0.1057253E-09 -0.1629629E-07 -0.7360680E-06 -0.1200000E+03
  0.3180000E+00  0.1648140E+00  0.1669154E+01  0.7372459E+02  0.6689953E-10 -0.1875842E-07 -0.8285376E-06 -0.1200002E+03
  0.3200000E+00  0.1681861E+00  0.1703166E+01  0.7357076E+02  0.3069161E-10 -0.1986467E-07 -0.8580841E-06 -0.1200001E+03
  0.3220000E+00  0.1716267E+00  0.1737594E+01  0.7341396E+02 -0.1255912E-10 -0.2490365E-07 -0.1052188E-05 -0.1200002E+03
  0.3240000E+00  0.1751365E+00  0.1772427E+01  0.7325385E+02 -0.6892300E-10 -0.2852414E-07 -0.1178893E-05 -0.1200001E+03
  0.3260000E+00  0.1787164E+00  0.1807656E+01  0.7309070E+02 -0.1266557E-09 -0.2961934E-07 -0.1197627E-05 -0.1200003E+03
