S.NO.   STATION ID  Major Lat   Minor Lat   LATITUDE    Major Lat   Minor Lat   LONGITUDE
282   T03406L11805      34.0000     6.0000      34.1875     118.0000    5.0000      118.1563
283   T03405L11805      34.0000     5.0000      34.1563     118.0000    5.0000      118.1563
284   T03404L11805      34.0000     4.0000      34.1250     118.0000    5.0000      118.1563
285   T03403L11805      34.0000     3.0000      34.0938     118.0000    5.0000      118.1563
286   T03402L11805      34.0000     2.0000      34.0625     118.0000    5.0000      118.1563
287   T03401L11805      34.0000     1.0000      34.0313     118.0000    5.0000      118.1563
288   T03400L11805      34.0000     0.0000      34.0000     118.0000    5.0000      118.1563
289   T03328L11805      33.0000     28.0000     33.8750     118.0000    5.0000      118.1563
290   T03327L11805      33.0000     27.0000     33.8438     118.0000    5.0000      118.1563
291   T03326L11805      33.0000     26.0000     33.8125     118.0000    5.0000      118.1563
292   T03325L11805      33.0000     25.0000     33.7813     118.0000    5.0000      118.1563
293   T03324L11805      33.0000     24.0000     33.7500     118.0000    5.0000      118.1563
294   T03408L11804      34.0000     8.0000      34.2500     118.0000    4.0000      118.1250
295   T03406L11804      34.0000     6.0000      34.1875     118.0000    4.0000      118.1250
296   T03405L11804      34.0000     5.0000      34.1563     118.0000    4.0000      118.1250
297   T03404L11804      34.0000     4.0000      34.1250     118.0000    4.0000      118.1250
298   T03403L11804      34.0000     3.0000      34.0938     118.0000    4.0000      118.1250
299   T03402L11804      34.0000     2.0000      34.0625     118.0000    4.0000      118.1250
300   T03401L11804      34.0000     1.0000      34.0313     118.0000    4.0000      118.1250
301   T03400L11804      34.0000     0.0000      34.0000     118.0000    4.0000      118.1250
302   T03330L11804      33.0000     30.0000     33.9375     118.0000    4.0000      118.1250
303   T03328L11804      33.0000     28.0000     33.8750     118.0000    4.0000      118.1250
304   T03327L11804      33.0000     27.0000     33.8438     118.0000    4.0000      118.1250
305   T03326L11804      33.0000     26.0000     33.8125     118.0000    4.0000      118.1250
306   T03325L11804      33.0000     25.0000     33.7813     118.0000    4.0000      118.1250
307   T03324L11804      33.0000     24.0000     33.7500     118.0000    4.0000      118.1250
308   T03406L11803      34.0000     6.0000      34.1875     118.0000    3.0000      118.0938
309   T03405L11803      34.0000     5.0000      34.1563     118.0000    3.0000      118.0938
310   T03404L11803      34.0000     4.0000      34.1250     118.0000    3.0000      118.0938
311   T03403L11803      34.0000     3.0000      34.0938     118.0000    3.0000      118.0938
312   T03402L11803      34.0000     2.0000      34.0625     118.0000    3.0000      118.0938
313   T03401L11803      34.0000     1.0000      34.0313     118.0000    3.0000      118.0938
314   T03400L11803      34.0000     0.0000      34.0000     118.0000    3.0000      118.0938
315   T03328L11803      33.0000     28.0000     33.8750     118.0000    3.0000      118.0938
316   T03327L11803      33.0000     27.0000     33.8438     118.0000    3.0000      118.0938
317   T03326L11803      33.0000     26.0000     33.8125     118.0000    3.0000      118.0938
318   T03325L11803      33.0000     25.0000     33.7813     118.0000    3.0000      118.0938
319   T03324L11803      33.0000     24.0000     33.7500     118.0000    3.0000      118.0938
320   T03408L11802      34.0000     8.0000      34.2500     118.0000    2.0000      118.0625
321   T03406L11802      34.0000     6.0000      34.1875     118.0000    2.0000      118.0625
322   T03405L11802      34.0000     5.0000      34.1563     118.0000    2.0000      118.0625
323   T03404L11802      34.0000     4.0000      34.1250     118.0000    2.0000      118.0625
324   T03403L11802      34.0000     3.0000      34.0938     118.0000    2.0000      118.0625
325   T03402L11802      34.0000     2.0000      34.0625     118.0000    2.0000      118.0625
326   T03401L11802      34.0000     1.0000      34.0313     118.0000    2.0000      118.0625
327   T03400L11802      34.0000     0.0000      34.0000     118.0000    2.0000      118.0625
328   T03330L11802      33.0000     30.0000     33.9375     118.0000    2.0000      118.0625
329   T03328L11802      33.0000     28.0000     33.8750     118.0000    2.0000      118.0625
330   T03327L11802      33.0000     27.0000     33.8438     118.0000    2.0000      118.0625
331   T03326L11802      33.0000     26.0000     33.8125     118.0000    2.0000      118.0625
332   T03325L11802      33.0000     25.0000     33.7813     118.0000    2.0000      118.0625
333   T03324L11802      33.0000     24.0000     33.7500     118.0000    2.0000      118.0625
334   T03323L11802      33.0000     23.0000     33.7188     118.0000    2.0000      118.0625
335   T03408L11800      34.0000     8.0000      34.2500     118.0000    0.0000      118.0000
336   T03406L11800      34.0000     6.0000      34.1875     118.0000    0.0000      118.0000
337   T03404L11800      34.0000     4.0000      34.1250     118.0000    0.0000      118.0000
338   T03402L11800      34.0000     2.0000      34.0625     118.0000    0.0000      118.0000
339   T03400L11800      34.0000     0.0000      34.0000     118.0000    0.0000      118.0000
340   T03330L11800      33.0000     30.0000     33.9375     118.0000    0.0000      118.0000
341   T03328L11800      33.0000     28.0000     33.8750     118.0000    0.0000      118.0000
342   T03326L11800      33.0000     26.0000     33.8125     118.0000    0.0000      118.0000
343   T03324L11800      33.0000     24.0000     33.7500     118.0000    0.0000      118.0000
344   T03322L11800      33.0000     22.0000     33.6875     118.0000    0.0000      118.0000
345   T03408L11730      34.0000     8.0000      34.2500     117.0000    30.0000     117.9375
346   T03406L11730      34.0000     6.0000      34.1875     117.0000    30.0000     117.9375
347   T03404L11730      34.0000     4.0000      34.1250     117.0000    30.0000     117.9375
348   T03402L11730      34.0000     2.0000      34.0625     117.0000    30.0000     117.9375
349   T03400L11730      34.0000     0.0000      34.0000     117.0000    30.0000     117.9375
350   T03330L11730      33.0000     30.0000     33.9375     117.0000    30.0000     117.9375
351   T03328L11730      33.0000     28.0000     33.8750     117.0000    30.0000     117.9375
352   T03326L11730      33.0000     26.0000     33.8125     117.0000    30.0000     117.9375
353   T03324L11730      33.0000     24.0000     33.7500     117.0000    30.0000     117.9375
